Region,Side,Treatment F value,Genotype F Value,Time.Point F Value,Treatment:Genotype F Value,Treatment:Time.Point F Value,Genotype:Time Point F Value,Treatment:Genotype:Time Point F Value,Treatment P value,Genotype P Value,Time.Point P Value,Treatment:Genotype P Value,Treatment:Time.Point P Value,Genotype:Time Point P Value,Treatment:Genotype:Time Point P Value
scp,Left,3.286,1.6167,1.0127,1.6967,1.0135,6.2712,0.8545,0.02195,0.20513,0.31556,0.16919,0.38792,0.01312,0.46581
icp_oc_tz,Left,0.2722,0.5296,1.0746,1.1562,0.5166,0.9419,0.8685,0.8454,0.4677,0.3012,0.3278,0.6713,0.333,0.4585
cbw,Left,4.1612,9.2166,1.1285,0.2501,0.6405,1.6328,0.5049,0.006988,0.002739,0.289469,0.861117,0.589852,0.202891,0.679365
LV,Left,0.6215,2.8666,4.5991,1.1336,0.0839,0.0319,0.125,0.60194,0.09209,0.03327,0.33674,0.96877,0.85845,0.94522
A25,Left,0.701,4.1419,0.3111,11.3962,0.2308,1.6794,1.1294,0.55257,0.04324,0.57765,0.24536,0.87483,0.19659,0.33843
das,Left,0.2821,0.2447,0.4423,0.9247,0.5546,0.5896,1.0603,0.8383,0.6214,0.5068,0.43,0.6457,0.4436,0.3672
Post,Left,1.8692,13.9047,2.7019,1.7867,1.328,4.587,0.5736,0.1362606,0.0002544,0.10189922,0.1511668,0.2666106,0.0335031,0.6330153
4V,Left,1.3311,0.8323,0.6491,0.0572,1.1314,0.0053,0.9746,0.2656,0.3628,0.4214,0.982,0.3376,0.9423,0.4059
MiTg,Left,1.001,0.3723,1.5692,2.0419,1.1027,0.3981,0.1629,0.3936,0.5425,0.2119,0.1095,0.3493,0.5289,0.9212
PT,Left,0.6526,2.2838,0.0552,0.2575,0.7865,0.4716,1.2607,0.5822,0.1324,0.8146,0.8559,0.5028,0.4931,0.2892
LDVL,Left,1.3789,7.5237,0.7531,2.2334,0.6675,0.0585,0.2277,0.250577,0.006678,0.386589,0.085765,0.573002,0.809205,0.877021
LP,Left,3.0915,1.4042,0.0131,1.7501,0.9024,0.5725,0.427,0.02828,0.23752,0.90898,0.15827,0.44106,0.45021,0.7339
Athal,Left,0.223,0.0179,0.1656,2.0836,0.2199,2.6358,1.2729,0.8803,0.8938,0.6845,0.1038,0.8825,0.1062,0.285
RMC,Left,3.3311,0.12293,2.5088,0.9983,1.1346,1.2473,0.3009,0.0207,0.7195,0.1149,0.3948,0.3364,0.2655,0.8247
PaR,Left,0.6401,5.1993,0.0009,2.50911,1.0478,5.0391,0.1426,0.59011,0.02372,0.97633,0.06018,0.37266,0.02595,0.93432
RR,Left,0.2605,1.6717,0.1331,2.0725,0.9355,0.0383,0.2517,0.8538,0.1976,0.7156,0.1053,0.4246,0.845,0.8601
CSF,Left,1.4058,1.0709,0.0264,0.4613,0.13229,0.1514,0.0842,0.2425,0.3021,0.8712,0.7096,0.9404,0.6977,0.9686
IRN,Left,0.2733,0.692,6.9377,1.6476,0.7134,0.4367,0.594,0.844601,0.406529,0.009143,0.179888,0.545116,0.509532,0.619644
PHD_PaMP_Post_and_LatHy ,Left,0.2512,4.3882,2.004,0.3992,1.7886,8.5179,0.721,0.860411,0.037529,0.158909,0.753707,0.150804,0.003946,0.540609
PR_p3Tg_L,Left,1.6317,1.8132,2.2747,2.6228,1.0116,0.0145,1.1041,0.18348,0.17975,0.13318,0.05197,0.38878,0.90417,0.34873
A24a,Right,0.8944,2.8499,9.6387,1.0304,1.2637,0.7057,2.7654,0.44514,0.09304,0.0022,0.38034,0.28818,0.40194,0.04321
A24a Prime,Right,1.1223,0.8033,0.5761,3.0738,0.456,3.2147,2.2569,0.34128,0.37126,0.44881,0.02895,0.71334,0.07459,0.08322
A24b,Right,1.3596,1.1935,1.2314,0.4866,2.0943,0.2552,0.324,0.2566,0.276,0.2686,0.692,0.1024,0.614,0.808
A24b Prime,Right,0.629,0.504,1.9832,0.149,1.3922,0.4625,5.0929,0.597106,0.478615,0.160708,0.930243,0.246547,0.497275,0.002064
A29a,Right,1.0212,0.7281,1.1809,2.7877,0.0689,0.5253,0.3375,0.38445,0.39458,0.27857,0.04198,0.97642,0.4695,0.79825
A29b,Right,1.0274,0.3582,3.8855,4.792,0.1535,0.5026,2.6762,0.38168,0.55021,0.05017,0.00306,0.92734,0.47924,0.0485
A29c,Right,0.4168,0.2561,0.1671,4.2818,0.0489,0.0651,0.1744,0.741111,0.613382,0.683211,0.005967,0.985636,0.798924,0.9136
A30,Right,1.1888,0.1458,7.9213,3.5462,0.536,1.1213,0.1641,0.31532,0.702971,0.005406,0.015628,0.658158,0.291005,0.920409
A32,Right,0.2498,0.247,23.6139,0.983,0.1506,0.1532,1.7939,0.8614,0.6198,2.48E-06,0.4019,0.9292,0.6959,0.1498
Au1,Right,2.8003,0.9842,0.1869,0.8614,0.854,0.1182,1.3601,0.0413,0.3224,0.666,0.4622,0.4661,0.7314,0.2564
AuD,Right,3.1942,0.3155,10.8925,4.7324,0.7236,0.7121,0.8565,0.024743,0.57497,0.001155,0.003308,0.539061,0.399833,0.464746
